name,position,price
samsung galaxy s8,Samsung Galaxy S8. Отличная копия,2 000 грн.
samsung galaxy s8,Дисплей (LCD) Samsung Galaxy S8 (G950) с разбитым стеклом,2 000 грн.
samsung galaxy s8,Samsung Galaxy S8+,2 000 грн.
samsung galaxy s8,"Смартфон Samsung Galaxy S8 стиль,пробуждающий чувства",2 060 грн.
samsung galaxy s8,"Мощный Смартфон Samsung Galaxy S8 5.1"" 4G, 64Gb! Реплика! Сборка Корея",2 135 грн.
xiaomi redmi note5,"Защитная пленка Xiaomi Redmi Note 5 , Redmi Note 5 Pro 5,99",25 грн.
xiaomi redmi note5,Чехол стекло Xiaomi redmi note 2 3 3s 4 4x 4a max 4c 5c 5a A1 5 Pro S2,39 грн.
xiaomi redmi note5,Защитное стекло Xiaomi RedMi 4а 4х 5 5a 5plus note 3 4 4x 5a NOTE 5,40 грн.
xiaomi redmi note5,! Защитное стекло Xiaomi Redmi Note 2 3 3S 4 4a 4C 4X 5a PRO PRIME,40 грн.
xiaomi redmi note5,Стекло Xiaomi Redmi 3/4/4A/4x Note 5 A Mi4/5/6/A1/Pro/Max 2 чехол скло,45 грн.
